Geographic area,Indicator,Cause of death,Sex,Age group,SERIES_NAME,Unit of measure,TIME_PERIOD,OBS_VALUE,LOWER_BOUND,UPPER_BOUND
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2000,14404.87022,11000.0,17100.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2001,13728.66261,10400.0,16300.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2002,12889.70239,9810.0,15300.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2003,11996.03746,9130.0,14200.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2004,11099.58786,8450.0,13200.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2005,10274.21048,7820.0,12200.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2006,9393.191864,7150.0,11200.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2007,8670.679291,6600.0,10300.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2008,7552.882843,5750.0,8970.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2009,6502.904198,4950.0,7720.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2010,5473.62851,4160.0,6500.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2011,4502.02446,3430.0,5350.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2012,3391.825344,2580.0,4030.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2013,2462.190563,1870.0,2920.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2014,2152.506207,1640.0,2560.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2015,1907.023842,1450.0,2260.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2016,1816.687052,1380.0,2160.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2017,1875.325991,1430.0,2230.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2018,1649.098003,1260.0,1960.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2019,1491.416512,1130.0,1770.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2020,1357.8605,1030.0,1610.0
Ethiopia,Deaths,HIV/AIDS,Total,Under 5 years,CA CODE,Number of deaths,2021,1314.744934,1000.0,1560.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2000,15353.0,8340.0,26100.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2001,13468.0,5310.0,26700.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2002,11785.0,4670.0,22600.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2003,12607.0,5710.0,24500.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2004,13293.0,6470.0,35200.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2005,7886.0,3890.0,20800.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2006,6651.0,3200.0,18000.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2007,5076.0,2430.0,14200.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2008,4162.0,2080.0,10400.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2009,7020.0,3350.0,18600.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2010,8820.0,4170.0,23000.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2011,7499.0,4020.0,16700.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2012,9745.0,5200.0,18700.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2013,14118.0,6940.0,23900.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2014,11575.0,4490.0,24700.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2015,10225.0,4050.0,21900.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2016,6511.0,2720.0,14200.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2017,4444.0,2020.0,9520.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2018,1904.0,958.0,3350.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2019,1616.0,815.0,2810.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2020,2997.0,1520.0,5250.0
Ethiopia,Deaths,Malaria,Total,Under 5 years,CA CODE,Number of deaths,2021,2433.0,1240.0,4280.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2000,3939.183838,0.0,26000.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2001,4121.050964,0.0,25900.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2002,3924.520203,0.0,23800.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2003,3773.179504,0.0,22500.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2004,3583.904114,0.0,21100.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2005,3420.884155,0.0,20100.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2006,3320.087952,0.0,19600.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2007,3053.333679,0.0,18000.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2008,2695.830292,0.0,15700.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2009,2432.761169,0.0,14000.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2010,2189.060211,0.0,12500.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2011,2061.096436,0.0,9630.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2012,2324.909668,0.0,12200.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2013,2441.43457,0.0,12900.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2014,2490.366638,0.0,13200.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2015,1857.047333,0.0,8360.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2016,1857.822357,0.0,8830.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2017,1838.600952,0.0,8730.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2018,1711.986877,0.0,8140.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2019,1501.971832,0.0,7160.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2020,1365.428938,0.0,7160.0
Ethiopia,Deaths,Tuberculosis,Total,Under 5 years,CA CODE,Number of deaths,2021,1297.157492,0.0,7160.0
