Country ID,Country Code,Country Name,Region ID,Region Name,Income Group ID,Income Group Name,Income Group Acronym,Managing Agency ID,Managing Agency Acronym,Managing Agency Name,Managing Sub-agency or Bureau ID,Managing Sub-agency or Bureau Acronym,Managing Sub-agency or Bureau Name,Implementing Partner Category ID,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Sub-category Name,Implementing Partner ID,Implementing Partner Name,International Category ID,International Category Name,International Sector Code,International Sector Name,International Purpose Code,International Purpose Name,US Category ID,US Category Name,US Sector ID,US Sector Name,Submission ID,Funding Acount ID,Funding Account Name,Funding Agency ID,Funding Agency Name,Funding Agency Acronym,Foreign Assistance Objective ID,Foreign Assistance Objective Name,Aid Type Group ID,Aid Type Group Name,Activity ID,Activity Name,Activity Description,Activity Project Number,Activity Start Date,Activity End Date,Transaction Type ID,Transaction Type Name,Fiscal Year,Current Dollar Amount,Constant Dollar Amount
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,19,AFR,Bureau for Africa,8,Enterprises,Enterprises - United States,19,3990208,Enterprise - United States Redacted,2,Health and Population,122,Basic Health,12262,Malaria control,3,Health,13,Malaria,76,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,193451,Global Health Supply Chain - Procurement and Supply Management (GSHC-PSM) IDIQ - Malaria Task Order,"To provide USAID Missions, Bureaus and operating units with a worldwide mechanism to support the Presidents Malaria Initiatives and USAIDs goal of reducing the burden of malaria and supporting related activities pursuant to USAIDs maternal and child health and other infectious disease goals. It will primarily support USAIDs implementation of malaria programs through the procurement, management and delivery of high quality, safe and effective malaria commodities; the provision of on-the-ground logistics, supply  chain and related systems strengthening technical assistance and implementation capacity; and provide technical leadership to strengthen the global, demand, financing and introduction of existing and future malaria commodities.",AID-OAA-TO-15-00009,2015-04-15,2026-11-28,2,Obligations,2021,12572216,14066823
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,19,AFR,Bureau for Africa,8,Enterprises,Enterprises - United States,19,4000692,"Abt Associates, Inc.",2,Health and Population,122,Basic Health,12262,Malaria control,3,Health,13,Malaria,76,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,197497,PMI VectorLink Project,"The purpose of this task order is to support PMI, as well as USAID Missions, Country Offices, and Bureaus with malaria programs, in planning and implementing IRS programs and other proven, life-saving malaria vector control interventions with the overall goal of reducing the burden of malaria in Africa. This task order will enhance USAID's ability to implement IRS and integrated malaria vector control programs on the ground through cost-effective commodities procurement and logistics systems, and access to technical expertise in countries affected by malaria.",AID-OAA-TO-17-00027,2017-09-30,2024-09-24,2,Obligations,2021,11412810,12769585
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,6,HHS,Department of Health and Human Services,10,CDC,Centers for Disease Control and Prevention,1,Government,Government - Non United States,2,2000051,Government of Ethiopia,2,Health and Population,134,HIV/AIDS,13040,STD control including HIV/AIDS,3,Health,11,HIV/AIDS,34,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,47191,Strengthening Public Health Responses and Accelerating HIV/AIDS Program for the Sustainable Provision of Comprehensive HIV/AIDS Services in Oromia Regional State of the Federal Democratic Republic of Ethiopia under PEPFAR - 2021,Grants,NU2GGH002345,,2026-09-29,2,Obligations,2021,8855364,9908105
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,19,AFR,Bureau for Africa,3,NGO,NGO - United States,5,4001523,Management Sciences for Health,2,Health and Population,122,Basic Health,12263,Tuberculosis control,3,Health,12,Tuberculosis,76,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,202990,Eliminate Tuberculosis from Ethiopia (ETBE),"Provide support to reduce Tuberculosis burden (magnitude), its related mortality and transmission in Ethiopia.",72066320CA00009,,2025-06-17,2,Obligations,2021,8040193,8996025
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,6,HHS,Department of Health and Human Services,10,CDC,Centers for Disease Control and Prevention,2,Universities and Research Institutes,Universities and Research Institutes - United States,3,4000853,Columbia University,2,Health and Population,134,HIV/AIDS,13040,STD control including HIV/AIDS,3,Health,11,HIV/AIDS,34,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,47446,Technical Assistance to Ethiopia's Federal Ministry of Health and Regional Health Bureaus in Comprehensive HIV/AIDS Programming and Direct Site-Level Support in the Four Emerging Regions under the President's Emergency Plan for AIDS Relief (PEPFAR) - 2018,Grants,NU2GGH002156,,2023-09-29,2,Obligations,2021,5377696,6017006
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,6,HHS,Department of Health and Human Services,10,CDC,Centers for Disease Control and Prevention,1,Government,Government - Non United States,2,2000051,Government of Ethiopia,2,Health and Population,134,HIV/AIDS,13040,STD control including HIV/AIDS,3,Health,11,HIV/AIDS,34,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,47160,Strengthening Local Ownership for the Sustainable Provision of Comprehensive HIV/AIDS Services by Amhara Region Health Bureau of the Federal Democratic Republic of Ethiopia under the President's Emergency Plan for AIDS Relief (PEPFAR) - 2018,Grants,NU2GGH002152,,2023-09-29,2,Obligations,2021,4698149,5256673
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,6,HHS,Department of Health and Human Services,10,CDC,Centers for Disease Control and Prevention,1,Government,Government - United States,1,1000007,U.S. Government - Department of Health and Human Services,2,Health and Population,121,"Health, General",12110,Health policy and administrative management,3,Health,47,Health - General,34,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,47495,U.S. Centers for Disease Control and Prevention: Administrative Costs for Salaries and Benefits,U.S. Centers for Disease Control and Prevention: Administrative Costs for Salaries and Benefits,,,,2,Obligations,2021,3344708,3742331
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,6,HHS,Department of Health and Human Services,10,CDC,Centers for Disease Control and Prevention,1,Government,Government - Non United States,2,2000051,Government of Ethiopia,2,Health and Population,134,HIV/AIDS,13040,STD control including HIV/AIDS,3,Health,11,HIV/AIDS,34,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,47277,Support for the Provision of Sustainable Quality HIV Services and Attaining Impact in the Addis Ababa City Administration of the Federal Democratic Republic of Ethiopia under the President's Emergency Plan for AIDS Relief (PEPFAR) - 2017,Grants,NU2GGH002052,2017-09-30,2022-09-29,2,Obligations,2021,3101725,3470463
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,19,AFR,Bureau for Africa,3,NGO,NGO - International,6,4000363,Population Services International,2,Health and Population,134,HIV/AIDS,13040,STD control including HIV/AIDS,3,Health,11,HIV/AIDS,76,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,197376,MULU: Key Populations Activity,"MULU KPP Workplace HIV Prevention project use a combination prevention approach in delivering behavioral, biomedical and structural interventions. Behavioral activities include reaching FSW and PP (clients, Waitresses and truckers) through small group and one to one sessions, outreach and community mobilization as per the manual specifically designed for each groups. MULU KPP HIV prevention project delivers Biomedical services through outreach, and Public, Private and NGOs (PPN) facilities to ensure that clients access HIV testing and other integrated services. Along with supporting the government system to effectively respond to the HIV/AIDS needs at the national and regional level, the project support the community economic strengthening activities so that reduce financial vulnerability of the target groups.",72066318CA00001,,2025-09-30,2,Obligations,2021,3058060,3421607
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,19,AFR,Bureau for Africa,3,NGO,NGO - United States,5,4002164,Project HOPE,2,Health and Population,134,HIV/AIDS,13040,STD control including HIV/AIDS,3,Health,11,HIV/AIDS,76,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,196790,Community HIV and AIDS Care and Treatment activity,"Project HOPE is implementing the Community HIV Care and Treatment (CHCT) program, which aims to expand access to comprehensive HIV prevention, care and treatment services. This USAID-funded five-year program is implementing community-based targeted index-case testing to contribute to the UNAIDS 90-90-90 target and help end the AIDS epidemic in Ethiopia.",AID-663-A-17-00008,2017-07-17,2025-09-30,2,Obligations,2021,2748495,3075241
